,content-length
0,47431
1,2
2,-1
3,2
4,-1
5,-1
6,-1
7,1461
8,2
9,2212
10,-1
11,-1
12,-1
13,2
14,35
15,2640
16,2
17,5449
18,2
19,0
20,0
21,0
22,-1
23,2
24,2
25,2
26,0
27,2
28,0
29,224848
30,514
31,0
32,0
33,-1
34,2
35,2
36,36
37,-1
38,406456
39,0
40,132916
41,0
42,510044
43,0
44,849760
45,363
46,7743
47,-1
48,-1
49,2
50,-1
51,1135708
52,-1
53,1407368
54,0
55,1048852
56,-1
57,2
58,1276144
59,-1
60,712332
61,789788
62,0
63,0
64,-1
65,892060
66,-1
67,1298328
68,514
69,1482756
70,-1
71,0
72,1481816
73,-1
74,852392
75,941880
76,-1
77,0
78,1257156
79,0
80,1046408
81,2
82,-1
83,608368
84,-1
85,2
86,0
87,2
88,0
89,36
90,-1
91,-1
92,-1
93,-1
94,-1
95,-1
96,2
97,38
98,-1
99,-1
100,-1
101,-1
102,-1
103,-1
104,-1
105,-1
106,-1
107,-1
108,-1
109,-1
110,2
111,-1
112,-1
113,-1
114,-1
115,-1
116,-1
117,-1
118,-1
119,2
120,-1
121,-1
122,2
123,2257
124,-1
125,1880
126,2
127,35
128,2422
129,2
130,5432
131,2
132,2
133,2
134,2
135,0
136,0
137,0
138,-1
139,2
140,211124
141,0
142,0
143,514
144,0
145,265268
146,-1
147,0
148,2
149,2
150,36
151,212440
152,618332
153,0
154,0
155,-1
156,363
157,7743
158,-1
159,2
160,585
161,585
162,585
163,1162028
164,585
165,585
166,-1
167,0
168,1402668
169,-1
170,2
171,502336
172,-1
173,2
174,-1
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,-1
182,-1
183,-1
184,-1
185,-1
186,-1
187,2
188,2
189,0
190,2
191,0
192,-1
193,-1
194,-1
195,-1
196,2
197,46765
198,-1
199,2
200,-1
201,1464
202,-1
203,2
204,-1
205,2251
206,-1
207,-1
208,2
209,35
210,2389
211,2
212,5444
213,2
214,0
215,0
216,0
217,-1
218,2
219,2
220,2
221,2
222,0
223,0
224,513
225,0
226,0
227,69372
228,-1
229,2
230,133668
231,0
232,2
233,36
234,81404
235,0
236,923832
237,0
238,1376536
239,363
240,-1
241,-1
242,2
243,585
244,585
245,585
246,585
247,585
248,641268
249,2
250,-1
251,-1
252,-1
253,-1
254,-1
255,-1
256,-1
257,-1
258,-1
259,-1
260,-1
261,-1
262,-1
263,-1
264,-1
265,-1
266,2
267,2
268,0
269,0
270,2
271,-1
272,36
273,-1
274,-1
275,-1
276,2
277,46878
278,-1
279,-1
280,2
281,-1
282,1514
283,-1
284,2
285,-1
286,-1
287,2
288,35
289,2328
290,2
291,5419
292,2
293,2
294,2
295,2
296,0
297,0
298,0
299,-1
300,2
301,32524
302,0
303,0
304,43052
305,-1
306,0
307,2
308,513
309,2
310,581860
311,36
312,0
313,0
314,567196
315,0
316,0
317,1031744
318,363
319,-1
320,2
321,585
322,-1
323,585
324,1940912
325,585
326,585
327,585
328,1296824
329,-1
330,0
331,1183460
332,2
333,-1
334,1024788
335,1497608
336,-1
337,0
338,0
339,-1
340,1033248
341,-1
342,1172744
343,0
344,-1
345,1069720
346,-1
347,1101304
348,1313368
349,-1
350,0
351,0
352,1195492
353,-1
354,2
355,981924
356,-1
357,1154508
358,0
359,1022532
360,-1
361,1152252
362,-1
363,1170488
364,2
365,-1
366,-1
367,-1
368,-1
369,-1
370,-1
371,-1
372,-1
373,-1
374,-1
375,-1
376,-1
377,-1
378,-1
379,1074796
380,0
381,0
382,636944
383,-1
384,746360
385,1239672
386,0
387,-1
388,1146424
389,941692
390,2
391,-1
392,1674328
393,1278212
394,0
395,0
396,-1
397,1526936
398,-1
399,-1
400,1459820
401,0
402,-1
403,1318068
404,1208088
405,-1
406,1316752
407,0
408,0
409,0
410,-1
411,1219932
412,864612
413,2
414,-1
415,94940
416,591
417,2
418,2
419,0
420,0
421,0
422,2
423,0
424,0
425,650
426,2
