,content-length
0,1022165
1,141408
2,43
3,43
4,43
5,-1
6,12167
7,-1
8,62855
9,2342
10,309969
11,1782
12,52552
13,20615
14,46540
15,268
16,14320
17,11054
18,9124
19,12779
20,8594
21,15525
22,1609
23,5913
24,13492
25,4980
26,8152
27,14950
28,43
29,235
30,7110
31,6784
32,9863
33,10846
34,5438
35,12495
36,-1
37,9119
38,11418
39,13176
40,12085
41,11143
42,7359
43,12274
44,10171
45,8990
46,8022
47,16040
48,12254
49,6867
50,11548
51,14566
52,9941
53,16131
54,43
55,20609
56,16763
57,43
58,13434
59,8376
60,20365
61,43
62,12172
63,43
64,43
65,10532
66,13242
67,29556
68,8525
69,8569
70,11953
71,43
72,76009
73,43
74,43
75,7941
76,14949
77,43
78,43
79,15119
80,3658
81,7212
82,43
83,43
84,4995
85,43
86,31851
87,43
88,5465
89,-1
90,43
91,24500
92,34471
93,48893
94,43
95,10031
96,43
97,43
98,15647
99,43
100,43
101,43
102,-1
103,43
104,43
105,-1
106,119
107,152
108,19744
109,15838
110,12099
111,35797
112,26903
113,27536
114,-1
115,856
116,39371
117,35606
118,31155
119,30446
120,31777
121,-1
122,7278
123,28640
124,-1
125,-1
126,33931
127,37665
128,36482
129,38786
130,38991
131,37358
132,29373
133,37873
134,-1
135,-1
136,-1
137,405897
138,-1
139,29576
140,37837
141,38385
142,-1
143,-1
144,30135
145,-1
146,32521
147,1185
148,-1
149,43
150,37794
151,43
152,25285
153,43
154,-1
155,35994
156,36582
157,34724
158,-1
159,-1
160,-1
161,-1
162,-1
163,1296
164,1899
165,2182
166,2518
167,43
168,35211
169,43
170,43
171,-1
172,43
173,340
174,-1
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,43
182,43
183,43
184,43
185,43
186,0
187,43
188,2639120
189,34
190,-1
191,268
192,0
193,224
194,45
195,3223
196,19350
197,82409
198,142780
199,421424
200,-1
201,43
202,14626
203,0
204,1106
205,154
206,154
207,-1
208,154
209,154
210,-1
211,154
212,-1
213,35
214,43
215,1022165
216,43
217,24773
218,43
219,35
220,21247
221,15308
222,9040
223,35
224,19407
225,-1
226,-1
227,-1
228,-1
229,-1
230,0
231,43
232,-1
233,0
234,43
235,235
236,1170754
237,-1
238,0
239,-1
240,0
241,43
242,0
243,-1
244,235
245,-1
246,0
247,2655086
248,-1
249,0
250,0
251,0
252,75
253,235
254,2082405
255,-1
256,0
257,-1
258,0
259,0
260,43
261,0
262,-1
263,268
264,-1
265,0
266,-1
267,43
268,43
269,43
270,43
271,43
272,43
273,575
274,30837
275,186
276,303
277,-1
278,235
279,43
280,-1
281,43
282,43
283,43
284,43
285,43
286,-1
287,43
288,43
289,43
290,23723
291,37673
292,91346
293,39922
