,content-length
0,0
1,0
2,-1
3,-1
4,-1
5,121048
6,9918
7,35514
8,43671
9,66140
10,62691
11,41569
12,4289
13,11282
14,5341
15,4881
16,22016
17,22631
18,8077
19,8294
20,9600
21,5244
22,8952
23,6102
24,10227
25,8659
26,5959
27,9133
28,8898
29,8143
30,8083
31,41534
32,24603
33,67345
34,940
35,8431
36,10058
37,7857
38,9594
39,13153
40,5124
41,5759
42,7107
43,6245
44,4734
45,7523
46,8224
47,6277
48,7909
49,5553
50,9218
51,9773
52,10508
53,10918
54,14397
55,8857
56,7325
57,14333
58,6206
59,9157
60,11418
61,10938
62,5338
63,5208
64,9358
65,8281
66,6055
67,70565
68,6647
69,9225
70,5985
71,9244
72,6615
73,6353
74,7886
75,6718
76,7885
77,9961
78,7599
79,6095
80,7016
81,6684
82,5999
83,6865
84,10496
85,9739
86,18335
87,5466
88,5421
89,9364
90,6540
91,9906
92,5233
93,6668
94,8114
95,3523
96,5501
97,4090
98,4312
99,6314
100,2865
101,6408
102,4685
103,4245
104,8521
105,6768
106,7814
107,6732
108,4945
109,3730
110,5186
111,7386
112,4161
113,10539
114,3825
115,5521
116,6636
117,4130
118,5149
119,6012
120,8112
121,6733
122,10962
123,8073
124,8319
125,7799
126,7686
127,7690
128,7296
129,4465
130,6896
131,5427
132,6478
133,6163
134,7789
135,29399
136,12020
137,20241
138,9946
139,11853
140,13004
141,9315
142,6802
143,16395
144,9214
145,8118
146,94047
147,12942
148,10933
149,12368
150,0
151,8050
152,6319
153,5733
154,-1
155,-1
156,1435
157,-1
158,10274
159,40669
160,15579
161,7330
162,8453
163,6092
164,8713
165,8521
166,8833
167,7885
168,106846
169,-1
170,12500
171,7598
172,13195
173,11448
174,8551
175,10220
176,10034
177,8160
178,7650
179,11807
180,10129
181,94840
182,11916
183,10626
184,5101
185,4424
186,8943
187,7104
188,5567
189,6183
190,6107
191,11646
192,10518
193,-1
194,344
195,129
196,5365
197,4076
198,6003
199,7138
200,10275
201,9252
202,7518
203,4842
204,3799
205,5297
206,10251
207,10652
208,18704
209,5518
210,7430
211,8615
212,10508
213,6155
214,5671
215,7453
216,5152
217,6478
218,10186
219,15566
220,7473
221,9708
222,28354
223,9260
224,9021
225,10532
226,5721
227,7454
228,7700
229,9353
230,7989
231,10871
232,3257
233,8582
234,9840
235,6374
236,7396
237,8579
238,6181
239,9165
240,25910
241,8358
242,5755
243,11034
244,8004
245,4858
246,5930
247,9243
248,6681
249,7168
250,4780
251,4346
252,12255
253,10557
254,8146
255,9074
256,11364
257,10458
258,5658
259,11729
260,7572
261,11559
262,4722
263,7821
264,8214
265,9331
266,8281
267,14510
268,15813
269,36032
270,13629
271,12283
272,387
273,4815
274,7922
275,4028
276,24685
277,9563
278,33516
279,13562
280,7579
281,23193
282,9225
283,7255
284,36055
285,33125
286,24439
287,22662
288,32220
289,9315
290,11245
291,10293
292,15459
293,8006
294,23273
295,13260
296,21708
297,9115
298,34242
299,30233
300,6658
301,27270
302,24415
303,8384
304,94164
305,18761
306,4716
307,7562
308,19391
309,116060
310,9195
311,114215
312,5964
313,119787
314,7812
315,8228
316,30363
317,6559
318,7279
319,9873
320,146203
321,110800
322,72026
323,12327
324,7058
325,9298
326,9074
327,7882
328,9652
329,3851
330,8555
331,8323
332,47853
333,9654
334,67295
335,324429
336,12197
337,11305
338,107921
339,7436
340,49932
341,110797
342,14823
343,19465
344,135521
345,8160
346,4887
347,10908
348,11604
349,17073
350,7488
351,69674
352,11775
353,-1
354,100429
355,85535
356,98084
357,3921
358,5268
359,5379
360,19841
361,11107
362,91562
363,137801
364,96907
365,-1
366,-1
367,-1
368,9410
369,7007
370,-1
371,12748
372,-1
373,97960
374,1366
375,69906
376,177092
377,8522
378,3458
379,12461
380,7296
381,0
382,1930
383,13620
384,11633
385,4976
386,405
387,1630
388,1507
389,1595
390,659
391,5272
392,4249
393,49
394,98
395,-1
396,1946
397,1498
398,-1
399,10050
400,-1
401,1039
402,621
403,4249
404,0
405,953
406,0
407,45
408,1092
409,772
410,1145
411,3279
412,0
413,45
414,0
415,-1
416,0
417,0
418,-1
419,-1
420,0
421,8516
422,811
423,0
424,-1
425,-1
426,0
427,0
428,0
429,0
430,43
431,1145
