,content-length
0,50604
1,22817
2,1081
3,4307
4,9010
5,5411
6,8265
7,1991
8,7537
9,10331
10,9935
11,11698
12,12800
13,10278
14,14198
15,34090
16,8870
17,11520
18,5165
19,7398
20,5920
21,-1
22,36
23,7817
24,12703
25,9033
26,10106
27,36
28,8920
29,6771
30,7726
31,13475
32,9323
33,7484
34,14735
35,7467
36,7992
37,10703
38,10758
39,8631
40,6100
41,6484
42,7875
43,12344
44,9090
45,4949
46,12886
47,13037
48,11741
49,7885
50,7470
51,11361
52,8586
53,7606
54,9364
55,12779
56,15641
57,7426
58,18085
59,7487
60,8179
61,8976
62,8455
63,10576
64,10461
65,14501
66,9084
67,8697
68,-1
69,36
70,-1
71,-1
72,-1
73,43
74,-1
75,-1
76,-1
77,-1
78,-1
79,-1
80,21921
81,9706
82,6479
83,8917
84,10896
85,7841
86,68124
87,7291
88,0
89,9949
90,7279
91,6972
92,8020
93,206084
94,-1
95,7936
96,7068
97,7664
98,6721
99,10845
100,10233
101,15842
102,11405
103,7020
104,10741
105,11367
106,11580
107,15655
108,13439
109,36
110,7856
111,14654
112,9974
113,13516
114,11404
115,9558
116,13596
117,6517
118,9865
119,6713
120,11713
121,11215
122,10729
123,9683
124,9453
125,12865
126,8025
127,5367
128,5915
129,10433
130,5377
131,13927
132,11548
133,7536
134,6647
135,7000
136,5901
137,9823
138,3249
139,12518
140,7491
141,0
142,0
143,0
144,-1
145,-1
146,36
147,36
148,-1
149,0
150,1
151,-1
152,-1
153,-1
154,43
155,-1
156,-1
157,-1
158,6823
159,14252
160,5431
161,10349
162,7028
163,10236
164,9250
165,4634
166,14587
167,5636
168,-1
169,-1
170,-1
171,-1
172,-1
173,-1
174,-1
175,-1
176,43
177,-1
178,43
