,param,value,evaluation
0,10,0.8817603088787068,valid f1
1,15,0.8865667606565054,valid f1
2,20,0.8969744229877833,valid f1
3,25,0.8969744229877833,valid f1
4,30,0.8971379490966885,valid f1
5,35,0.89762739721113,valid f1
6,40,0.8991041005338145,valid f1
7,45,0.8996344021059933,valid f1
8,50,0.9011216545188455,valid f1
9,55,0.9034016321074207,valid f1
10,60,0.9049321454364158,valid f1
11,65,0.9062815982444858,valid f1
12,70,0.9066113506345023,valid f1
13,75,0.9066128695207777,valid f1
14,80,0.9067803609158821,valid f1
15,85,0.907279795459087,valid f1
16,90,0.907279795459087,valid f1
17,95,0.907279795459087,valid f1
18,100,0.9076082616206524,valid f1
19,105,0.9077714765852436,valid f1
20,110,0.9077714765852436,valid f1
21,115,0.9077714765852436,valid f1
22,120,0.9079363396499821,valid f1
23,125,0.9079363396499821,valid f1
24,130,0.9079363396499821,valid f1
25,135,0.9081023099846935,valid f1
26,140,0.9092721564973685,valid f1
27,145,0.9151946619626034,valid f1
28,150,0.9170852952809331,valid f1
29,155,0.9177689241792756,valid f1
30,160,0.9187619070999693,valid f1
31,165,0.920767644725176,valid f1
32,170,0.9224595442792528,valid f1
33,175,0.9229707901389359,valid f1
34,180,0.9229707901389359,valid f1
35,185,0.9229707901389359,valid f1
36,190,0.9229707901389359,valid f1
37,195,0.9229707901389359,valid f1
38,200,0.9229707901389359,valid f1
39,205,0.9229707901389359,valid f1
40,210,0.9229707901389359,valid f1
41,215,0.9231415853926911,valid f1
42,220,0.9233125711598359,valid f1
43,225,0.9233125711598359,valid f1
44,230,0.922970392370071,valid f1
45,235,0.922970392370071,valid f1
46,240,0.922970392370071,valid f1
47,245,0.922970392370071,valid f1
48,250,0.9231415853926911,valid f1
49,255,0.9231415853926911,valid f1
50,260,0.9231415853926911,valid f1
51,265,0.9231415853926911,valid f1
52,270,0.9231415853926911,valid f1
53,275,0.9231415853926911,valid f1
54,280,0.9233149432763447,valid f1
55,285,0.9241846544566971,valid f1
56,290,0.9233149432763447,valid f1
57,295,0.9240134614340768,valid f1
58,300,0.9240134614340768,valid f1
0,10,0.9488658208381392,valid recall
1,15,0.9488658208381392,valid recall
2,20,0.9488658208381392,valid recall
3,25,0.9488658208381392,valid recall
4,30,0.9488658208381392,valid recall
5,35,0.9488658208381392,valid recall
6,40,0.9488658208381392,valid recall
7,45,0.9492502883506343,valid recall
8,50,0.9492502883506343,valid recall
9,55,0.9507881584006151,valid recall
10,60,0.9530949634755864,valid recall
11,65,0.9534794309880815,valid recall
12,70,0.9534794309880815,valid recall
13,75,0.9534794309880815,valid recall
14,80,0.9534794309880815,valid recall
15,85,0.9534794309880815,valid recall
16,90,0.9534794309880815,valid recall
17,95,0.9534794309880815,valid recall
18,100,0.9534794309880815,valid recall
19,105,0.9534794309880815,valid recall
20,110,0.9534794309880815,valid recall
21,115,0.9534794309880815,valid recall
22,120,0.9534794309880815,valid recall
23,125,0.9534794309880815,valid recall
24,130,0.9534794309880815,valid recall
25,135,0.9534794309880815,valid recall
26,140,0.9534794309880815,valid recall
27,145,0.9534794309880815,valid recall
28,150,0.9534794309880815,valid recall
29,155,0.9534794309880815,valid recall
30,160,0.9534794309880815,valid recall
31,165,0.9534794309880815,valid recall
32,170,0.9534794309880815,valid recall
33,175,0.9534794309880815,valid recall
34,180,0.9534794309880815,valid recall
35,185,0.9534794309880815,valid recall
36,190,0.9534794309880815,valid recall
37,195,0.9534794309880815,valid recall
38,200,0.9534794309880815,valid recall
39,205,0.9534794309880815,valid recall
40,210,0.9534794309880815,valid recall
41,215,0.9534794309880815,valid recall
42,220,0.9534794309880815,valid recall
43,225,0.9534794309880815,valid recall
44,230,0.9534794309880815,valid recall
45,235,0.9534794309880815,valid recall
46,240,0.9534794309880815,valid recall
47,245,0.9534794309880815,valid recall
48,250,0.9534794309880815,valid recall
49,255,0.9534794309880815,valid recall
50,260,0.9534794309880815,valid recall
51,265,0.9534794309880815,valid recall
52,270,0.9534794309880815,valid recall
53,275,0.9534794309880815,valid recall
54,280,0.9534794309880815,valid recall
55,285,0.9534794309880815,valid recall
56,290,0.9534794309880815,valid recall
57,295,0.9534794309880815,valid recall
58,300,0.9534794309880815,valid recall
0,10,0.8817041635957029,train f1
1,15,0.8884465905196501,train f1
2,20,0.896804519594936,train f1
3,25,0.8970489927555364,train f1
4,30,0.8971304472932219,train f1
5,35,0.8980287836090706,train f1
6,40,0.8987650252720168,train f1
7,45,0.9002394020433478,train f1
8,50,0.9009328390932206,train f1
9,55,0.9032004900846351,train f1
10,60,0.9055896693001846,train f1
11,65,0.9061867129856326,train f1
12,70,0.9068511386011053,train f1
13,75,0.9071810646387718,train f1
14,80,0.9071810646387718,train f1
15,85,0.9077632697785663,train f1
16,90,0.9078459095460136,train f1
17,95,0.9079285946203511,train f1
18,100,0.9079285946203511,train f1
19,105,0.9082623889227853,train f1
20,110,0.9082623889227853,train f1
21,115,0.9082623889227853,train f1
22,120,0.9082623889227853,train f1
23,125,0.9082623889227853,train f1
24,130,0.9082623889227853,train f1
25,135,0.9081790014631811,train f1
26,140,0.9103464185593876,train f1
27,145,0.9163416299466925,train f1
28,150,0.9177086360572302,train f1
29,155,0.9183099785505672,train f1
30,160,0.9187273749042433,train f1
31,165,0.9198180015976547,train f1
32,170,0.9221941747421522,train f1
33,175,0.9227952433683599,train f1
34,180,0.9229673224685992,train f1
35,185,0.9229673224685992,train f1
36,190,0.9229673224685992,train f1
37,195,0.9229673224685992,train f1
38,200,0.9229673224685992,train f1
39,205,0.9229673224685992,train f1
40,210,0.9229673224685992,train f1
41,215,0.9231395939434618,train f1
42,220,0.9232117392661371,train f1
43,225,0.9232117392661371,train f1
44,230,0.9232117392661371,train f1
45,235,0.9231254830726296,train f1
46,240,0.9230392789976681,train f1
47,245,0.9231254830726296,train f1
48,250,0.923211735373647,train f1
49,255,0.923211735373647,train f1
50,260,0.9234710196698167,train f1
51,265,0.9234710196698167,train f1
52,270,0.9234710196698167,train f1
53,275,0.9233708517283397,train f1
54,280,0.9234573457677552,train f1
55,285,0.9237989363548228,train f1
56,290,0.9234573457677552,train f1
57,295,0.9237989363548228,train f1
58,300,0.9237989363548228,train f1
0,10,0.948481353325644,train recall
1,15,0.9488658208381392,train recall
2,20,0.9488658208381392,train recall
3,25,0.9488658208381392,train recall
4,30,0.9488658208381392,train recall
5,35,0.9488658208381392,train recall
6,40,0.9488658208381392,train recall
7,45,0.9488658208381392,train recall
8,50,0.9492502883506345,train recall
9,55,0.9505959246443676,train recall
10,60,0.953287197231834,train recall
11,65,0.9534794309880815,train recall
12,70,0.9534794309880815,train recall
13,75,0.9534794309880815,train recall
14,80,0.9534794309880815,train recall
15,85,0.9534794309880815,train recall
16,90,0.9534794309880815,train recall
17,95,0.9534794309880815,train recall
18,100,0.9534794309880815,train recall
19,105,0.9534794309880815,train recall
20,110,0.9534794309880815,train recall
21,115,0.9534794309880815,train recall
22,120,0.9534794309880815,train recall
23,125,0.9534794309880815,train recall
24,130,0.9534794309880815,train recall
25,135,0.9534794309880815,train recall
26,140,0.9534794309880815,train recall
27,145,0.9534794309880815,train recall
28,150,0.9534794309880815,train recall
29,155,0.9534794309880815,train recall
30,160,0.9534794309880815,train recall
31,165,0.9534794309880815,train recall
32,170,0.9534794309880815,train recall
33,175,0.9534794309880815,train recall
34,180,0.9534794309880815,train recall
35,185,0.9534794309880815,train recall
36,190,0.9534794309880815,train recall
37,195,0.9534794309880815,train recall
38,200,0.9534794309880815,train recall
39,205,0.9534794309880815,train recall
40,210,0.9534794309880815,train recall
41,215,0.9534794309880815,train recall
42,220,0.953287197231834,train recall
43,225,0.953287197231834,train recall
44,230,0.953287197231834,train recall
45,235,0.953287197231834,train recall
46,240,0.953287197231834,train recall
47,245,0.953287197231834,train recall
48,250,0.953287197231834,train recall
49,255,0.953287197231834,train recall
50,260,0.953287197231834,train recall
51,265,0.953287197231834,train recall
52,270,0.953287197231834,train recall
53,275,0.9530949634755864,train recall
54,280,0.9530949634755864,train recall
55,285,0.9530949634755864,train recall
56,290,0.9530949634755864,train recall
57,295,0.9530949634755864,train recall
58,300,0.9530949634755864,train recall
