,param,value,evaluation
0,10,0.7125619736577596,valid f1
1,15,0.7163015350988577,valid f1
2,20,0.7224106668867684,valid f1
3,25,0.7253008235887024,valid f1
4,30,0.7254197621068829,valid f1
5,35,0.7321484969643038,valid f1
6,40,0.7322675548986671,valid f1
7,45,0.732390425399303,valid f1
8,50,0.732390425399303,valid f1
9,55,0.7329875126242303,valid f1
10,60,0.7329875126242303,valid f1
11,65,0.7331105075506895,valid f1
12,70,0.7331105075506895,valid f1
13,75,0.7331105075506895,valid f1
14,80,0.7397223928111228,valid f1
15,85,0.7394604307335322,valid f1
16,90,0.7394604307335322,valid f1
17,95,0.7394604307335322,valid f1
18,100,0.7407757677475953,valid f1
19,105,0.7407757677475953,valid f1
20,110,0.7407757677475953,valid f1
21,115,0.7407757677475953,valid f1
22,120,0.7407757677475953,valid f1
23,125,0.7407757677475953,valid f1
24,130,0.745656047423739,valid f1
25,135,0.7460902927989624,valid f1
26,140,0.7460902927989624,valid f1
27,145,0.7460902927989624,valid f1
28,150,0.7464499896997854,valid f1
29,155,0.7464499896997854,valid f1
30,160,0.7464499896997854,valid f1
31,165,0.7464499896997854,valid f1
32,170,0.7468473006900873,valid f1
33,175,0.7468473006900873,valid f1
34,180,0.7468473006900873,valid f1
35,185,0.7468473006900873,valid f1
36,190,0.7510467494318647,valid f1
37,195,0.7510467494318647,valid f1
38,200,0.7500733894135024,valid f1
39,205,0.7501684915266219,valid f1
40,210,0.7501684915266219,valid f1
41,215,0.7501684915266219,valid f1
42,220,0.7501684915266219,valid f1
43,225,0.7501684915266219,valid f1
44,230,0.7503034813919691,valid f1
45,235,0.7503034813919691,valid f1
46,240,0.7503034813919691,valid f1
47,245,0.7503034813919691,valid f1
48,250,0.7503034813919691,valid f1
49,255,0.7503034813919691,valid f1
50,260,0.7503034813919691,valid f1
51,265,0.7503034813919691,valid f1
52,270,0.7503034813919691,valid f1
53,275,0.7503034813919691,valid f1
54,280,0.7503034813919691,valid f1
55,285,0.7503034813919691,valid f1
56,290,0.750448556044086,valid f1
57,295,0.750448556044086,valid f1
58,300,0.750448556044086,valid f1
0,10,0.8146866589773164,valid recall
1,15,0.8146866589773164,valid recall
2,20,0.8146866589773164,valid recall
3,25,0.8146866589773164,valid recall
4,30,0.8146866589773164,valid recall
5,35,0.8146866589773164,valid recall
6,40,0.8146866589773164,valid recall
7,45,0.8146866589773164,valid recall
8,50,0.8146866589773164,valid recall
9,55,0.8146866589773164,valid recall
10,60,0.8146866589773164,valid recall
11,65,0.8146866589773164,valid recall
12,70,0.8146866589773164,valid recall
13,75,0.8146866589773164,valid recall
14,80,0.81199538638985,valid recall
15,85,0.81199538638985,valid recall
16,90,0.81199538638985,valid recall
17,95,0.81199538638985,valid recall
18,100,0.81199538638985,valid recall
19,105,0.81199538638985,valid recall
20,110,0.81199538638985,valid recall
21,115,0.81199538638985,valid recall
22,120,0.81199538638985,valid recall
23,125,0.81199538638985,valid recall
24,130,0.8104575163398694,valid recall
25,135,0.8104575163398694,valid recall
26,140,0.8104575163398694,valid recall
27,145,0.8104575163398694,valid recall
28,150,0.8104575163398694,valid recall
29,155,0.8104575163398694,valid recall
30,160,0.8104575163398694,valid recall
31,165,0.8104575163398694,valid recall
32,170,0.8104575163398694,valid recall
33,175,0.8104575163398694,valid recall
34,180,0.8104575163398694,valid recall
